"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC10317_2","NCTC11359_2","NCTC11698_2","NCTC13635_2","NCTC418_2","NCTC9157_2","NCTC9171_2","NCTC9667_2","NCTC9793_2","NFYY0065_2"
"group_4172","","NAD(P)-dependent oxidoreductase","1","1","1","1","4854","","","","314","314","314","8777fb3be99985d899573c6a12a3dd51_10513","","","","","","","","",""
"WP_015065566.1","","DUF2946 domain-containing protein","1","1","1","1","4855","","","","419","419","419","8777fb3be99985d899573c6a12a3dd51_10515","","","","","","","","",""
"WP_023313931.1","","DUF2534 family protein","1","1","1","1","4856","","","","260","260","260","8777fb3be99985d899573c6a12a3dd51_10519","","","","","","","","",""
"WP_003846919.1","","hypothetical protein","1","1","1","1","4857","","","","170","170","170","8777fb3be99985d899573c6a12a3dd51_10523","","","","","","","","",""
"lacY","","lactose permease","1","1","1","1","4858","","","","1253","1253","1253","8777fb3be99985d899573c6a12a3dd51_10525","","","","","","","","",""
"WP_004182121.1","","beta-galactosidase","1","1","1","1","4859","","","","3074","3074","3074","8777fb3be99985d899573c6a12a3dd51_10527","","","","","","","","",""
"WP_016831235.1","","DNA-binding transcriptional repressor LacI","1","1","1","1","4860","","","","1082","1082","1082","8777fb3be99985d899573c6a12a3dd51_10529","","","","","","","","",""
"WP_004152285.1","","hypothetical protein","1","1","1","1","4861","","","","215","215","215","8777fb3be99985d899573c6a12a3dd51_10531","","","","","","","","",""
"WP_004152284.1","","zinc-binding alcohol dehydrogenase family protein","1","1","1","1","4862","","","","1010","1010","1010","8777fb3be99985d899573c6a12a3dd51_10533","","","","","","","","",""
"WP_071527925.1","","EAL domain-containing protein","1","1","1","1","4863","","","","242","242","242","8777fb3be99985d899573c6a12a3dd51_10535","","","","","","","","",""
"fecE","","Fe(3+) dicitrate ABC transporter ATP-binding protein FecE","1","1","1","1","4865","","","","767","767","767","8777fb3be99985d899573c6a12a3dd51_10541","","","","","","","","",""
"fecD","","Fe(3+) dicitrate ABC transporter permease subunit FecD","1","1","1","1","4866","","","","956","956","956","8777fb3be99985d899573c6a12a3dd51_10543","","","","","","","","",""
"fecC","","iron-dicitrate ABC transporter permease FecC","1","1","1","1","4867","","","","998","998","998","8777fb3be99985d899573c6a12a3dd51_10545","","","","","","","","",""
"fecB","","Fe(3+) dicitrate ABC transporter substrate-binding protein FecB","1","1","1","1","4868","","","","902","902","902","8777fb3be99985d899573c6a12a3dd51_10547","","","","","","","","",""
"fecA","","Fe(3+) dicitrate transport protein FecA","1","1","1","1","4869","","","","2324","2324","2324","8777fb3be99985d899573c6a12a3dd51_10549","","","","","","","","",""
"fecR","","fec operon regulator FecR","1","1","1","1","4870","","","","953","953","953","8777fb3be99985d899573c6a12a3dd51_10551","","","","","","","","",""
"WP_004197062.1","","RNA polymerase sigma factor FecI","1","1","1","1","4871","","","","521","521","521","8777fb3be99985d899573c6a12a3dd51_10553","","","","","","","","",""
"group_4189","","IS21 family transposase","1","1","1","1","4872","","","","485","485","485","8777fb3be99985d899573c6a12a3dd51_10555","","","","","","","","",""
"WP_151379615.1","","DUF4102 domain-containing protein","1","1","1","1","5418","","","","383","383","383","","","","","","","437f59dc9dcfa09ce2d50a324ebaf4a8_5899","","",""
"WP_004118840.1","","transporter substrate-binding protein","1","1","1","1","4873","","","","1127","1127","1127","8777fb3be99985d899573c6a12a3dd51_10559","","","","","","","","",""
"WP_004118229.1","","ANTAR domain-containing protein","1","1","1","1","4874","","","","593","593","593","8777fb3be99985d899573c6a12a3dd51_10561","","","","","","","","",""
"WP_004152279.1","","ABC transporter permease","1","1","1","1","4875","","","","848","848","848","8777fb3be99985d899573c6a12a3dd51_10563","","","","","","","","",""
"WP_004118227.1","","ABC transporter permease","1","1","1","1","4876","","","","920","920","920","8777fb3be99985d899573c6a12a3dd51_10565","","","","","","","","",""
"WP_004152278.1","","ABC transporter substrate-binding protein","1","1","1","1","4877","","","","1604","1604","1604","8777fb3be99985d899573c6a12a3dd51_10567","","","","","","","","",""
"WP_004118225.1","","acetamidase/formamidase family protein","1","1","1","1","4878","","","","947","947","947","8777fb3be99985d899573c6a12a3dd51_10569","","","","","","","","",""
"WP_040190756.1","","ABC transporter ATP-binding protein","1","1","1","1","4879","","","","1733","1733","1733","8777fb3be99985d899573c6a12a3dd51_10571","","","","","","","","",""
"group_4197","","transposase","1","1","1","1","4880","","","","377","377","377","8777fb3be99985d899573c6a12a3dd51_10573","","","","","","","","",""
"WP_004114613.1","","IS66 family insertion sequence hypothetical protein","1","1","1","1","4882","","","","377","377","377","8777fb3be99985d899573c6a12a3dd51_10579","","","","","","","","",""
"hxsA","","His-Xaa-Ser repeat protein HxsA","1","1","1","1","4883","","","","635","635","635","8777fb3be99985d899573c6a12a3dd51_10581","","","","","","","","",""
"WP_129557000.1","","hypothetical protein","1","1","1","1","5760","","","","578","578","578","","","","","","","","","1304c761f7edd07127d4c6b6f249f721_92",""
"hxsC","","His-Xaa-Ser system radical SAM maturase HxsC","1","1","1","1","4884","","","","1112","1112","1112","8777fb3be99985d899573c6a12a3dd51_10583","","","","","","","","",""
"hxsB","","His-Xaa-Ser system radical SAM maturase HxsB","1","1","1","1","4885","","","","1388","1388","1388","8777fb3be99985d899573c6a12a3dd51_10585","","","","","","","","",""
"group_4202","","transposase","1","1","1","1","7418","","","","389","389","389","8777fb3be99985d899573c6a12a3dd51_10595","","","","","","","","",""
"WP_000323730.1","","trypsin-like peptidase domain-containing protein","1","1","1","1","7417","","","","1151","1151","1151","8777fb3be99985d899573c6a12a3dd51_10597","","","","","","","","",""
"psiE-GI","","heat resistance protein PsiE-GI","1","1","1","1","7416","","","","497","497","497","8777fb3be99985d899573c6a12a3dd51_10601","","","","","","","","",""
"kefB-GI","","heat resistance system K+/H+ antiporter KefB-GI","1","1","1","1","7415","","","","1709","1709","1709","8777fb3be99985d899573c6a12a3dd51_10603","","","","","","","","",""
"trx-GI","","heat resistance system thioredoxin Trx-GI","1","1","1","1","7414","","","","440","440","440","8777fb3be99985d899573c6a12a3dd51_10605","","","","","","","","",""
"WP_040190651.1","","hypothetical protein","1","1","1","1","7413","","","","1145","1145","1145","8777fb3be99985d899573c6a12a3dd51_10607","","","","","","","","",""
"hdeD-GI","","heat resistance membrane protein HdeD-GI","1","1","1","1","7412","","","","641","641","641","8777fb3be99985d899573c6a12a3dd51_10609","","","","","","","","",""
"yfdX2","","heat resistance protein YfdX2","1","1","1","1","7411","","","","887","887","887","8777fb3be99985d899573c6a12a3dd51_10611","","","","","","","","",""
"yfdX1","","heat resistance protein YfdX1","1","1","1","1","7410","","","","914","914","914","8777fb3be99985d899573c6a12a3dd51_10613","","","","","","","","",""
"hsp20-GI","","small heat shock protein sHSP20-GI","1","1","1","1","7409","","","","458","458","458","8777fb3be99985d899573c6a12a3dd51_10615","","","","","","","","",""
"WP_023205099.1","","ATP-dependent metalloprotease FtsH","1","1","1","1","7408","","","","140","140","140","8777fb3be99985d899573c6a12a3dd51_10617","","","","","","","","",""
"clpK","","heat shock survival AAA family ATPase ClpK","1","1","1","1","7407","","","","2849","2849","2849","8777fb3be99985d899573c6a12a3dd51_10621","","","","","","","","",""
"hsp20","","small heat shock protein sHSP20","1","1","1","1","7406","","","","569","569","569","8777fb3be99985d899573c6a12a3dd51_10623","","","","","","","","",""
"WP_032738446.1","","helix-turn-helix domain-containing protein","1","1","1","1","7405","","","","281","281","281","8777fb3be99985d899573c6a12a3dd51_10625","","","","","","","","",""
"WP_040190643.1","","hypothetical protein","1","1","1","1","4637","","","","263","263","263","8777fb3be99985d899573c6a12a3dd51_10627","","","","","","","","",""
"WP_100097810.1","","hypothetical protein","1","1","1","1","2388","","","","215","215","215","8777fb3be99985d899573c6a12a3dd51_10633","","","","","","","","",""
"WP_004152107.1","","hypothetical protein","1","1","1","1","4987","","","","257","257","257","8777fb3be99985d899573c6a12a3dd51_10641","","","","","","","","",""
"group_4220","hha","hemolysin expression modulator Hha","1","1","1","1","4986","","","","203","203","203","8777fb3be99985d899573c6a12a3dd51_10643","","","","","","","","",""
"WP_004152105.1","","hypothetical protein","1","1","1","1","4985","","","","368","368","368","8777fb3be99985d899573c6a12a3dd51_10645","","","","","","","","",""
"WP_004152104.1","","DNA-binding protein","1","1","1","1","4984","","","","494","494","494","8777fb3be99985d899573c6a12a3dd51_10647","","","","","","","","",""
"WP_004152103.1","","hypothetical protein","1","1","1","1","4983","","","","575","575","575","8777fb3be99985d899573c6a12a3dd51_10649","","","","","","","","",""
"WP_004152102.1","","hypothetical protein","1","1","1","1","4982","","","","269","269","269","8777fb3be99985d899573c6a12a3dd51_10651","","","","","","","","",""
"arsR","","As(III)-sensing metalloregulatory transcriptional repressor ArsR","1","1","1","1","4961","","","","350","350","350","8777fb3be99985d899573c6a12a3dd51_10653","","","","","","","","",""
"arsD","","arsenite efflux transporter metallochaperone ArsD","1","1","1","1","4962","","","","362","362","362","8777fb3be99985d899573c6a12a3dd51_10655","","","","","","","","",""
"arsA","","arsenite efflux transporter ATPase subunit ArsA","1","1","1","1","4963","","","","1751","1751","1751","8777fb3be99985d899573c6a12a3dd51_10657","","","","","","","","",""
"group_4228","arsB","arsenite efflux transporter membrane subunit ArsB","1","1","1","1","4964","","","","1289","1289","1289","8777fb3be99985d899573c6a12a3dd51_10659","","","","","","","","",""
"WP_004152097.1","","glutaredoxin-dependent arsenate reductase","1","1","1","1","4965","","","","425","425","425","8777fb3be99985d899573c6a12a3dd51_10661","","","","","","","","",""
"WP_004152096.1","","N-acetyltransferase","1","1","1","1","4966","","","","536","536","536","8777fb3be99985d899573c6a12a3dd51_10663","","","","","","","","",""
"WP_004152095.1","","arsenic metallochaperone ArsD family protein","1","1","1","1","4967","","","","362","362","362","8777fb3be99985d899573c6a12a3dd51_10667","","","","","","","","",""
"WP_004182005.1","","sigma-70 family RNA polymerase sigma factor","1","1","1","1","4968","","","","545","545","545","8777fb3be99985d899573c6a12a3dd51_10669","","","","","","","","",""
"group_4233","arsH","arsenical resistance protein ArsH","1","1","1","1","4969","","","","710","710","710","8777fb3be99985d899573c6a12a3dd51_10671","","","","","","","","",""
"WP_004152092.1","","helix-turn-helix transcriptional regulator","1","1","1","1","4970","","","","326","326","326","8777fb3be99985d899573c6a12a3dd51_10673","","","","","","","","",""
"WP_004196778.1","","N-acetyltransferase","1","1","1","1","4971","","","","497","497","497","8777fb3be99985d899573c6a12a3dd51_10675","","","","","","","","",""
"WP_004196769.1","","aquaporin","1","1","1","1","4972","","","","509","509","509","8777fb3be99985d899573c6a12a3dd51_10677","","","","","","","","",""
"group_4237","","type II toxin-antitoxin system RelE/ParE family toxin","1","1","1","1","4973","","","","98","98","98","8777fb3be99985d899573c6a12a3dd51_10681","","","","","","","","",""
"pcoE","","copper resistance system metallochaperone PcoE","1","1","1","1","4974","","","","434","434","434","8777fb3be99985d899573c6a12a3dd51_10683","","","","","","","","",""
"group_424","araA","L-arabinose isomerase","1","1","1","1","2063","","","","1127","1127","1127","","","71b4f8e38d314b58d2a15397a624f579_8746","","","","","","",""
"silE","","silver-binding protein SilE","1","1","1","1","4906","","","","431","431","431","8777fb3be99985d899573c6a12a3dd51_10719","","","","","","","","",""
"group_4253","","ISL3 family transposase","1","1","1","1","4905","","","","542","542","542","8777fb3be99985d899573c6a12a3dd51_10721","","","","","","","","",""
"WP_085955172.1","","IS3 family transposase","1","1","1","1","4904","","","","321","321","321","8777fb3be99985d899573c6a12a3dd51_10725","","","","","","","","",""
"WP_004178088.1","","choline BCCT transporter BetT","1","1","1","1","4903","","","","1997","1997","1997","8777fb3be99985d899573c6a12a3dd51_10730","","","","","","","","",""
"WP_004152070.1","","DUF2254 domain-containing protein","1","1","1","1","4902","","","","1277","1277","1277","8777fb3be99985d899573c6a12a3dd51_10732","","","","","","","","",""
"WP_072042967.1","","EAL domain-containing protein","1","1","1","1","4901","","","","1454","1454","1454","8777fb3be99985d899573c6a12a3dd51_10734","","","","","","","","",""
"WP_004197688.1","","hypothetical protein","1","1","1","1","4900","","","","257","257","257","8777fb3be99985d899573c6a12a3dd51_10736","","","","","","","","",""
"group_4259","","PTS fructose IIA subunit","1","1","1","1","4898","","","","89","89","89","8777fb3be99985d899573c6a12a3dd51_10740","","","","","","","","",""
"WP_071527918.1","","EAL domain-containing protein","1","1","1","1","4897","","","","311","311","311","8777fb3be99985d899573c6a12a3dd51_10742","","","","","","","","",""
"WP_004182028.1","","sensor domain-containing diguanylate cyclase","1","1","1","1","4896","","","","947","947","947","8777fb3be99985d899573c6a12a3dd51_10744","","","","","","","","",""
"WP_001515717.1","","site-specific integrase","1","1","1","1","4895","","","","740","740","740","8777fb3be99985d899573c6a12a3dd51_10746","","","","","","","","",""
"group_4264","","hypothetical protein","1","1","1","1","4800","","","","401","401","401","8777fb3be99985d899573c6a12a3dd51_10760","","","","","","","","",""
"WP_000037308.1","","DUF262 domain-containing protein","1","1","1","1","4799","","","","1952","1952","1952","8777fb3be99985d899573c6a12a3dd51_10764","","","","","","","","",""
"WP_004182043.1","","hypothetical protein","1","1","1","1","4798","","","","251","251","251","8777fb3be99985d899573c6a12a3dd51_10766","","","","","","","","",""
"group_4267","umuC","Y-family DNA polymerase","1","1","1","1","4797","","","","1244","1244","1244","8777fb3be99985d899573c6a12a3dd51_10768","","","","","","","","",""
"group_4268","umuD","translesion error-prone DNA polymerase V autoproteolytic subunit","1","1","1","1","4796","","","","425","425","425","8777fb3be99985d899573c6a12a3dd51_10770","","","","","","","","",""
"WP_072145371.1","","hypothetical protein","1","1","1","1","4795","","","","251","251","251","8777fb3be99985d899573c6a12a3dd51_10772","","","","","","","","",""
"ltrA","","group II intron reverse transcriptase/maturase","1","1","1","1","4794","","","","1508","1508","1508","8777fb3be99985d899573c6a12a3dd51_10774","","","","","","","","",""
"WP_004118481.1","","hypothetical protein","1","1","1","1","4793","","","","230","230","230","8777fb3be99985d899573c6a12a3dd51_10776","","","","","","","","",""
"group_4272","","DUF1472 domain-containing protein","1","1","1","1","4792","","","","92","92","92","8777fb3be99985d899573c6a12a3dd51_10778","","","","","","","","",""
"WP_004118478.1","","antirestriction protein","1","1","1","1","4791","","","","425","425","425","8777fb3be99985d899573c6a12a3dd51_10780","","","","","","","","",""
"WP_004152754.1","","DNA polymerase III subunit theta","1","1","1","1","4790","","","","254","254","254","8777fb3be99985d899573c6a12a3dd51_10782","","","","","","","","",""
"WP_004118473.1","","hypothetical protein","1","1","1","1","4789","","","","317","317","317","8777fb3be99985d899573c6a12a3dd51_10784","","","","","","","","",""
"WP_004182050.1","","hypothetical protein","1","1","1","1","4788","","","","227","227","227","8777fb3be99985d899573c6a12a3dd51_10786","","","","","","","","",""
"WP_001568051.1","","hypothetical protein","1","1","1","1","4787","","","","230","230","230","8777fb3be99985d899573c6a12a3dd51_10788","","","","","","","","",""
"WP_004182052.1","","DUF3560 domain-containing protein","1","1","1","1","4786","","","","1355","1355","1355","8777fb3be99985d899573c6a12a3dd51_10790","","","","","","","","",""
"WP_004182054.1","","methyltransferase","1","1","1","1","4785","","","","563","563","563","8777fb3be99985d899573c6a12a3dd51_10792","","","","","","","","",""
"WP_032428126.1","","hypothetical protein","1","1","1","1","4783","","","","218","218","218","8777fb3be99985d899573c6a12a3dd51_10796","","","","","","","","",""
"WP_004153804.1","","hypothetical protein","1","1","1","1","4773","","","","218","218","218","8777fb3be99985d899573c6a12a3dd51_10820","","","","","","","","",""
"group_4282","WP_032428126.1","hypothetical protein","1","1","1","1","4764","","","","218","218","218","8777fb3be99985d899573c6a12a3dd51_10838","","","","","","","","",""
"ssb","","single-stranded DNA-binding protein","1","1","1","1","4782","","","","542","542","542","8777fb3be99985d899573c6a12a3dd51_10798","","","","","","","","",""
"WP_004182058.1","","DUF905 domain-containing protein","1","1","1","1","4781","","","","248","248","248","8777fb3be99985d899573c6a12a3dd51_10800","","","","","","","","",""
"WP_040224738.1","","ParB/RepB/Spo0J family partition protein","1","1","1","1","4780","","","","2057","2057","2057","8777fb3be99985d899573c6a12a3dd51_10802","","","","","","","","",""
"psiB","","conjugation system SOS inhibitor PsiB","1","1","1","1","4779","","","","431","431","431","8777fb3be99985d899573c6a12a3dd51_10804","","","","","","","","",""
"WP_004194231.1","","hypothetical protein","1","1","1","1","4778","","","","326","326","326","8777fb3be99985d899573c6a12a3dd51_10808","","","","","","","","",""
"WP_004182064.1","","hypothetical protein","1","1","1","1","4777","","","","374","374","374","8777fb3be99985d899573c6a12a3dd51_10810","","","","","","","","",""
"WP_004118124.1","","type I toxin-antitoxin system Hok family toxin","1","1","1","1","4776","","","","161","161","161","8777fb3be99985d899573c6a12a3dd51_10814","","","","","","","","",""
"WP_023317525.1","","hypothetical protein","1","1","1","1","4775","","","","272","272","272","8777fb3be99985d899573c6a12a3dd51_10816","","","","","","","","",""
"WP_004182068.1","","hypothetical protein","1","1","1","1","4774","","","","350","350","350","8777fb3be99985d899573c6a12a3dd51_10818","","","","","","","","",""
"WP_004152717.1","","hypothetical protein","1","1","1","1","4772","","","","356","356","356","8777fb3be99985d899573c6a12a3dd51_10822","","","","","","","","",""
"WP_004182070.1","","hypothetical protein","1","1","1","1","4771","","","","212","212","212","8777fb3be99985d899573c6a12a3dd51_10824","","","","","","","","",""
"WP_020325128.1","","hypothetical protein","1","1","1","1","4770","","","","224","224","224","8777fb3be99985d899573c6a12a3dd51_10826","","","","","","","","",""
"WP_004152720.1","","type II toxin-antitoxin system RelE/ParE family toxin","1","1","1","1","4769","","","","320","320","320","8777fb3be99985d899573c6a12a3dd51_10828","","","","","","","","",""
"WP_004152721.1","","helix-turn-helix transcriptional regulator","1","1","1","1","4768","","","","278","278","278","8777fb3be99985d899573c6a12a3dd51_10830","","","","","","","","",""
"WP_004182074.1","","helix-turn-helix domain-containing protein","1","1","1","1","4767","","","","413","413","413","8777fb3be99985d899573c6a12a3dd51_10832","","","","","","","","",""
"group_4298","","hypothetical protein","1","1","1","1","4766","","","","212","212","212","8777fb3be99985d899573c6a12a3dd51_10834","","","","","","","","",""
"WP_004182076.1","","DUF945 domain-containing protein","1","1","1","1","4763","","","","821","821","821","8777fb3be99985d899573c6a12a3dd51_10840","","","","","","","","",""
"WP_129557080.1","","hypothetical protein","1","1","1","2","4","","","","638","638","638","","","","","","","","","1304c761f7edd07127d4c6b6f249f721_10650",""
"WP_001568110.1","","hypothetical protein","1","1","1","1","4762","","","","314","314","314","8777fb3be99985d899573c6a12a3dd51_10842","","","","","","","","",""
"WP_087831831.1","","transglycosylase SLT domain-containing protein","1","1","1","1","4761","","","","485","485","485","8777fb3be99985d899573c6a12a3dd51_10844","","","","","","","","",""
"traM","","relaxosome protein TraM","1","1","1","1","4760","","","","383","383","383","8777fb3be99985d899573c6a12a3dd51_10846","","","","","","","","",""
"WP_020325115.1","","hypothetical protein","1","1","1","1","4759","","","","659","659","659","8777fb3be99985d899573c6a12a3dd51_10848","","","","","","","","",""
"WP_004144426.1","","TraY domain-containing protein","1","1","1","1","4758","","","","170","170","170","8777fb3be99985d899573c6a12a3dd51_10850","","","","","","","","",""
"traA","","type IV conjugative transfer system pilin TraA","1","1","1","1","4757","","","","368","368","368","8777fb3be99985d899573c6a12a3dd51_10852","","","","","","","","",""
"traL","","type IV conjugative transfer system protein TraL","1","1","1","1","4756","","","","305","305","305","8777fb3be99985d899573c6a12a3dd51_10854","","","","","","","","",""
"traE","","type IV conjugative transfer system protein TraE","1","1","1","1","4755","","","","566","566","566","8777fb3be99985d899573c6a12a3dd51_10856","","","","","","","","",""
"traK","","type-F conjugative transfer system secretin TraK","1","1","1","1","4754","","","","740","740","740","8777fb3be99985d899573c6a12a3dd51_10858","","","","","","","","",""
"traB","","conjugal transfer protein TraB","1","1","1","1","4753","","","","1424","1424","1424","8777fb3be99985d899573c6a12a3dd51_10860","","","","","","","","",""
"WP_016831037.1","","hypothetical protein","1","1","1","1","4752","","","","179","179","179","8777fb3be99985d899573c6a12a3dd51_10862","","","","","","","","",""
"WP_108444198.1","","hypothetical protein","1","1","1","1","4751","","","","407","407","407","8777fb3be99985d899573c6a12a3dd51_10864","","","","","","","","",""
"traV","","type IV conjugative transfer system lipoprotein TraV","1","1","1","1","4750","","","","584","584","584","8777fb3be99985d899573c6a12a3dd51_10866","","","","","","","","",""
"WP_087831830.1","","hypothetical protein","1","1","1","1","4749","","","","410","410","410","8777fb3be99985d899573c6a12a3dd51_10868","","","","","","","","",""
"WP_014386199.1","","hypothetical protein","1","1","1","1","4748","","","","218","218","218","8777fb3be99985d899573c6a12a3dd51_10872","","","","","","","","",""
"WP_016831041.1","","hypothetical protein","1","1","1","1","4747","","","","311","311","311","8777fb3be99985d899573c6a12a3dd51_10874","","","","","","","","",""
"WP_016831042.1","","hypothetical protein","1","1","1","1","4746","","","","404","404","404","8777fb3be99985d899573c6a12a3dd51_10876","","","","","","","","",""
"WP_023158009.1","","hypothetical protein","1","1","1","1","4745","","","","389","389","389","8777fb3be99985d899573c6a12a3dd51_10878","","","","","","","","",""
"WP_016831044.1","","hypothetical protein","1","1","1","1","4744","","","","392","392","392","8777fb3be99985d899573c6a12a3dd51_10880","","","","","","","","",""
"traC","","type IV secretion system protein TraC","1","1","1","1","4743","","","","2639","2639","2639","8777fb3be99985d899573c6a12a3dd51_10882","","","","","","","","",""
"trbI","","type-F conjugative transfer system protein TrbI","1","1","1","1","4742","","","","389","389","389","8777fb3be99985d899573c6a12a3dd51_10884","","","","","","","","",""
"traW","","type-F conjugative transfer system protein TraW","1","1","1","1","4741","","","","635","635","635","8777fb3be99985d899573c6a12a3dd51_10886","","","","","","","","",""
"WP_023158005.1","","hypothetical protein","1","1","1","1","4740","","","","401","401","401","8777fb3be99985d899573c6a12a3dd51_10888","","","","","","","","",""
"traU","","conjugal transfer pilus assembly protein TraU","1","1","1","1","4739","","","","989","989","989","8777fb3be99985d899573c6a12a3dd51_10890","","","","","","","","",""
"trbC","","type-F conjugative transfer system pilin assembly protein TrbC","1","1","1","1","4738","","","","647","647","647","8777fb3be99985d899573c6a12a3dd51_10892","","","","","","","","",""
"traN","","type-F conjugative transfer system mating-pair stabilization protein TraN","1","1","1","1","4737","","","","1955","1955","1955","8777fb3be99985d899573c6a12a3dd51_10894","","","","","","","","",""
"trbE","","conjugal transfer protein TrbE","1","1","1","1","4736","","","","254","254","254","8777fb3be99985d899573c6a12a3dd51_10896","","","","","","","","",""
"WP_004152675.1","","hypothetical protein","1","1","1","1","4735","","","","248","248","248","8777fb3be99985d899573c6a12a3dd51_10898","","","","","","","","",""
"WP_015065534.1","","hypothetical protein","1","1","1","1","4734","","","","326","326","326","8777fb3be99985d899573c6a12a3dd51_10900","","","","","","","","",""
"traF","","type-F conjugative transfer system pilin assembly protein TraF","1","1","1","1","4733","","","","752","752","752","8777fb3be99985d899573c6a12a3dd51_10902","","","","","","","","",""
"traQ","","type-F conjugative transfer system pilin chaperone TraQ","1","1","1","1","4732","","","","239","239","239","8777fb3be99985d899573c6a12a3dd51_10904","","","","","","","","",""
"trbB","","type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB","1","1","1","1","4731","","","","557","557","557","8777fb3be99985d899573c6a12a3dd51_10906","","","","","","","","",""
"trbF","","F-type conjugal transfer protein TrbF","1","1","1","1","4730","","","","443","443","443","8777fb3be99985d899573c6a12a3dd51_10908","","","","","","","","",""
"traH","","conjugal transfer protein TraH","1","1","1","1","4729","","","","1367","1367","1367","8777fb3be99985d899573c6a12a3dd51_10910","","","","","","","","",""
"WP_020805049.1","","LysR family transcriptional regulator","1","1","1","1","2796","","","","905","905","905","","82cb54a66be23676d92c45561410fc22_82","","","","","","","",""
"WP_020805057.1","","hypothetical protein","1","1","1","1","2794","","","","524","524","524","","82cb54a66be23676d92c45561410fc22_86","","","","","","","",""
"WP_108452503.1","","DUF3237 domain-containing protein","1","1","1","1","2641","","","","467","467","467","","82cb54a66be23676d92c45561410fc22_186","","","","","","","",""
"WP_129557008.1","","hypothetical protein","1","1","1","1","77","","","","272","272","272","","","","","","","","","1304c761f7edd07127d4c6b6f249f721_180",""
"WP_025712484.1","","DUF554 domain-containing protein","1","1","1","1","4320","","","","716","716","716","","82cb54a66be23676d92c45561410fc22_1617","","","","","","","",""
"WP_025712483.1","","UbiX family flavin prenyltransferase","1","1","1","1","4321","","","","578","578","578","","82cb54a66be23676d92c45561410fc22_1619","","","","","","","",""
"WP_108452516.1","","UbiD family decarboxylase","1","1","1","1","4322","","","","1493","1493","1493","","82cb54a66be23676d92c45561410fc22_1621","","","","","","","",""
"WP_025712481.1","","LysR family transcriptional regulator","1","1","1","1","4323","","","","899","899","899","","82cb54a66be23676d92c45561410fc22_1623","","","","","","","",""
"WP_108452524.1","","winged helix-turn-helix domain-containing protein","1","1","1","1","3943","","","","791","791","791","","82cb54a66be23676d92c45561410fc22_1630","","","","","","","",""
"WP_108452525.1","","hypothetical protein","1","1","1","1","3942","","","","494","494","494","","82cb54a66be23676d92c45561410fc22_1632","","","","","","","",""
"WP_108452526.1","","type 1 fimbrial protein","1","1","1","1","3941","","","","536","536","536","","82cb54a66be23676d92c45561410fc22_1634","","","","","","","",""
"WP_126438424.1","","type 1 fimbrial protein","1","1","1","1","3940","","","","434","434","434","","82cb54a66be23676d92c45561410fc22_1636","","","","","","","",""
"WP_126438425.1","","outer membrane usher protein","1","1","1","1","3939","","","","2507","2507","2507","","82cb54a66be23676d92c45561410fc22_1638","","","","","","","",""
"WP_122051064.1","","fimbria/pilus periplasmic chaperone","1","1","1","1","3938","","","","737","737","737","","82cb54a66be23676d92c45561410fc22_1640","","","","","","","",""
"WP_108452530.1","","type 1 fimbrial protein","1","1","1","1","3937","","","","620","620","620","","82cb54a66be23676d92c45561410fc22_1642","","","","","","","",""
"WP_108452531.1","","fimbrial protein","1","1","1","1","3875","","","","527","527","527","","82cb54a66be23676d92c45561410fc22_1644","","","","","","","",""
"WP_162992521.1","","fimbrial protein","1","1","1","1","3876","","","","485","485","485","","82cb54a66be23676d92c45561410fc22_1646","","","","","","","",""
"WP_108452533.1","","fimbrial protein","1","1","1","1","3877","","","","497","497","497","","82cb54a66be23676d92c45561410fc22_1648","","","","","","","",""
"WP_126438427.1","","hypothetical protein","1","1","1","1","3878","","","","971","971","971","","82cb54a66be23676d92c45561410fc22_1650","","","","","","","",""
"WP_122051065.1","","hypothetical protein","1","1","1","1","3879","","","","215","215","215","","82cb54a66be23676d92c45561410fc22_1652","","","","","","","",""
"WP_108452535.1","","O-antigen ligase C-terminal domain-containing protein","1","1","1","1","3880","","","","1739","1739","1739","","82cb54a66be23676d92c45561410fc22_1654","","","","","","","",""
"WP_162992568.1","","hypothetical protein","1","1","1","1","3881","","","","329","329","329","","82cb54a66be23676d92c45561410fc22_1656","","","","","","","",""
"WP_108452537.1","","NTP transferase domain-containing protein","1","1","1","1","3882","","","","815","815","815","","82cb54a66be23676d92c45561410fc22_1658","","","","","","","",""
"WP_126438428.1","","hypothetical protein","1","1","1","1","3883","","","","1025","1025","1025","","82cb54a66be23676d92c45561410fc22_1662","","","","","","","",""
"WP_108452539.1","","ABC transporter permease","1","1","1","1","3884","","","","860","860","860","","82cb54a66be23676d92c45561410fc22_1664","","","","","","","",""
"WP_108452540.1","","ABC transporter ATP-binding protein","1","1","1","1","3885","","","","722","722","722","","82cb54a66be23676d92c45561410fc22_1666","","","","","","","",""
"WP_108452541.1","","hypothetical protein","1","1","1","1","3886","","","","632","632","632","","82cb54a66be23676d92c45561410fc22_1668","","","","","","","",""
