"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NCTC10332_2","NCTC10728_2","NCTC11445_2","NCTC12903_2","NCTC13359_2","NCTC13618_2","NCTC13620_2","NCTC13715_2","PAO1_2","Pa58_2"
"trbK","","entry exclusion lipoprotein TrbK","1","1","1","1","2737","","","","236","236","236","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8079","","","","","","",""
"group_3515","trbJ","P-type conjugative transfer protein TrbJ","1","1","1","1","2736","","","","779","779","779","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8081","","","","","","",""
"WP_000024442.1","","stabilization protein","1","1","1","1","2735","","","","188","188","188","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8083","","","","","","",""
"WP_000743064.1","","replication protein C","1","1","1","1","2734","","","","881","881","881","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8085","","","","","","",""
"WP_001162384.1","","AAA family ATPase","1","1","1","1","2733","","","","827","827","827","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8087","","","","","","",""
"WP_001179606.1","","AlpA family phage regulatory protein","1","1","1","1","2755","","","","221","221","221","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8089","","","","","","",""
"WP_000954590.1","","site-specific integrase","1","1","1","1","2756","","","","1202","1202","1202","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_8091","","","","","","",""
"group_3524","","tyrosine-type recombinase/integrase","1","1","1","1","5943","","","","1019","1019","1019","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9318","","","","","","",""
"WP_019725804.1","","helix-turn-helix transcriptional regulator","1","1","1","1","5942","","","","239","239","239","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9320","","","","","","",""
"WP_019725803.1","","hypothetical protein","1","1","1","1","5941","","","","230","230","230","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9322","","","","","","",""
"WP_019725802.1","","toprim domain-containing protein","1","1","1","1","5940","","","","2690","2690","2690","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9324","","","","","","",""
"WP_019725801.1","","hypothetical protein","1","1","1","1","5939","","","","401","401","401","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9326","","","","","","",""
"WP_100199592.1","","hypothetical protein","1","1","1","1","5938","","","","323","323","323","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9328","","","","","","",""
"WP_019725799.1","","hypothetical protein","1","1","1","1","5937","","","","359","359","359","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9330","","","","","","",""
"WP_019725798.1","","hypothetical protein","1","1","1","1","5936","","","","266","266","266","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9332","","","","","","",""
"WP_019725797.1","","Arc family DNA-binding protein","1","1","1","1","5935","","","","245","245","245","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9334","","","","","","",""
"WP_019725796.1","","hypothetical protein","1","1","1","1","5934","","","","230","230","230","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9336","","","","","","",""
"WP_019725795.1","","hypothetical protein","1","1","1","1","5933","","","","278","278","278","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9338","","","","","","",""
"WP_019725794.1","","ogr/Delta-like zinc finger family protein","1","1","1","1","5932","","","","257","257","257","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9340","","","","","","",""
"WP_063878981.1","","phage portal protein","1","1","1","1","5931","","","","827","827","827","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9342","","","","","","",""
"WP_019725792.1","","oxidoreductase","1","1","1","1","5930","","","","2048","2048","2048","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9344","","","","","","",""
"WP_019725791.1","","GPO family capsid scaffolding protein","1","1","1","1","5929","","","","953","953","953","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9346","","","","","","",""
"WP_012074147.1","","phage major capsid protein, P2 family","1","1","1","1","5928","","","","1022","1022","1022","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9348","","","","","","",""
"WP_019725790.1","","terminase","1","1","1","1","5927","","","","734","734","734","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9350","","","","","","",""
"WP_019725789.1","","head completion/stabilization protein","1","1","1","1","5926","","","","461","461","461","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9352","","","","","","",""
"WP_019725788.1","","phage tail protein","1","1","1","1","5925","","","","437","437","437","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9354","","","","","","",""
"WP_019725787.1","","virion morphogenesis protein","1","1","1","1","5924","","","","668","668","668","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9356","","","","","","",""
"WP_019725786.1","","DUF2586 family protein","1","1","1","1","5923","","","","1115","1115","1115","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9358","","","","","","",""
"WP_023122750.1","","DUF2597 family protein","1","1","1","1","5922","","","","449","449","449","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9360","","","","","","",""
"WP_019725784.1","","TraR/DksA C4-type zinc finger protein","1","1","1","1","5921","","","","212","212","212","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9362","","","","","","",""
"WP_019725783.1","","hypothetical protein","1","1","1","1","5920","","","","305","305","305","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9364","","","","","","",""
"WP_019725782.1","","lysozyme","1","1","1","1","5919","","","","461","461","461","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9366","","","","","","",""
"WP_025982285.1","","hypothetical protein","1","1","1","1","5918","","","","188","188","188","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9368","","","","","","",""
"WP_019725780.1","","hypothetical protein","1","1","1","1","5917","","","","296","296","296","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9370","","","","","","",""
"WP_019725779.1","","hypothetical protein","1","1","1","1","5916","","","","140","140","140","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9372","","","","","","",""
"WP_170869865.1","","phage tail tape measure protein","1","1","1","1","5915","","","","2279","2279","2279","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9374","","","","","","",""
"WP_019725777.1","","DUF2590 family protein","1","1","1","1","5914","","","","317","317","317","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9376","","","","","","",""
"WP_019725776.1","","baseplate J/gp47 family protein","1","1","1","1","5913","","","","1172","1172","1172","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9378","","","","","","",""
"WP_019725775.1","","hypothetical protein","1","1","1","1","5912","","","","524","524","524","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9380","","","","","","",""
"WP_019725774.1","","phage tail protein","1","1","1","1","5911","","","","2621","2621","2621","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9382","","","","","","",""
"WP_019725773.1","","hypothetical protein","1","1","1","1","5910","","","","476","476","476","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9384","","","","","","",""
"WP_019725772.1","","hypothetical protein","1","1","1","1","5909","","","","923","923","923","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9386","","","","","","",""
"WP_025982284.1","","hypothetical protein","1","1","1","1","5908","","","","542","542","542","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9388","","","","","","",""
"WP_019725770.1","","hypothetical protein","1","1","1","1","5880","","","","692","692","692","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9390","","","","","","",""
"WP_025982283.1","","hypothetical protein","1","1","1","1","5881","","","","971","971","971","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9392","","","","","","",""
"WP_019725767.1","","type II toxin-antitoxin system HicB family antitoxin","1","1","1","1","5882","","","","422","422","422","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9394","","","","","","",""
"WP_019725766.1","","type II toxin-antitoxin system HicA family toxin","1","1","1","1","5883","","","","182","182","182","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9396","","","","","","",""
"WP_033974057.1","","site-specific integrase","1","1","1","1","5884","","","","1061","1061","1061","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9398","","","","","","",""
"WP_060538268.1","","hypothetical protein","1","1","1","1","5885","","","","224","224","224","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9400","","","","","","",""
"WP_126453352.1","","hypothetical protein","1","1","1","1","5886","","","","953","953","953","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9402","","","","","","",""
"WP_124187037.1","","hypothetical protein","1","1","1","1","5887","","","","905","905","905","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9404","","","","","","",""
"WP_071536102.1","","antitoxin VbhA family protein","1","1","1","1","5888","","","","203","203","203","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9406","","","","","","",""
"WP_033942172.1","","type IV secretion system protein","1","1","1","1","5889","","","","1079","1079","1079","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9408","","","","","","",""
"WP_033942139.1","","EexN family lipoprotein","1","1","1","1","5890","","","","254","254","254","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9410","","","","","","",""
"WP_033942141.1","","hypothetical protein","1","1","1","1","5891","","","","491","491","491","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9412","","","","","","",""
"virB5","","P-type DNA transfer protein VirB5","1","1","1","1","5892","","","","764","764","764","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9414","","","","","","",""
"WP_124187036.1","","hypothetical protein","1","1","1","1","5893","","","","1286","1286","1286","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9416","","","","","","",""
"WP_033942145.1","","ATP-binding protein","1","1","1","1","5894","","","","2084","2084","2084","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9418","","","","","","",""
"WP_124187035.1","","hypothetical protein","1","1","1","1","5895","","","","692","692","692","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9420","","","","","","",""
"WP_073657776.1","","MBL fold metallo-hydrolase","1","1","1","1","5896","","","","1037","1037","1037","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9422","","","","","","",""
"group_3577","","type II toxin-antitoxin system HipA family toxin","1","1","1","1","5897","","","","278","278","278","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9424","","","","","","",""
"WP_153549399.1","","hypothetical protein","1","1","1","1","5898","","","","149","149","149","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_9426","","","","","","",""
"WP_033974851.1","","hypothetical protein","1","1","1","1","6967","","","","449","449","449","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_10388","","","","","","",""
"WP_003083689.1","","hypothetical protein","1","1","1","1","7006","","","","233","233","233","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_10396","","","","","","",""
"WP_003111794.1","","hypothetical protein","1","1","1","1","7005","","","","284","284","284","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_10398","","","","","","",""
"WP_170842731.1","","hypothetical protein","1","1","1","1","6938","","","","434","434","434","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_10506","","","","","","",""
"WP_126453414.1","","hypothetical protein","1","1","1","1","6601","","","","1484","1484","1484","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11440","","","","","","",""
"WP_079385856.1","","RNA-directed DNA polymerase","1","1","1","1","6600","","","","935","935","935","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11442","","","","","","",""
"WP_033973403.1","","DUF559 domain-containing protein","1","1","1","1","6602","","","","950","950","950","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11444","","","","","","",""
"WP_126453417.1","","hypothetical protein","1","1","1","1","6603","","","","1436","1436","1436","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11446","","","","","","",""
"WP_079385855.1","","nucleoid-associated protein","1","1","1","1","6604","","","","1112","1112","1112","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11448","","","","","","",""
"WP_079385854.1","","hypothetical protein","1","1","1","1","6605","","","","275","275","275","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11450","","","","","","",""
"WP_033973378.1","","integrase domain-containing protein","1","1","1","1","6606","","","","980","980","980","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_11452","","","","","","",""
"WP_023108806.1","","hypothetical protein","1","1","1","1","1229","","","","320","320","320","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_12153","","","","","","",""
"group_3595","","type II toxin-antitoxin system RelE/ParE family toxin","1","1","1","1","4614","","","","184","184","184","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_12781","","","","","","",""
"WP_023103809.1","","DUF3742 family protein","1","1","1","1","4613","","","","341","341","341","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_12783","","","","","","",""
"WP_033949448.1","","conjugal transfer protein TraG N-terminal domain-containing protein","1","1","1","1","4612","","","","1544","1544","1544","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_12785","","","","","","",""
"WP_023103807.1","","DsbA family protein","1","1","1","1","4591","","","","659","659","659","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_12797","","","","","","",""
"NP_249677.1","","hypothetical protein","1","1","1","1","4576","","","","263","263","263","","","","","","","","","252ccf95a1f36013216e1b90c752981b_2098",""
"group_360","tadA","Flp pilus assembly complex ATPase component TadA","1","1","1","1","4243","","","","1579","1579","1579","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_5","","","","","","",""
"WP_162963229.1","","DUF4113 domain-containing protein","1","1","1","1","4453","","","","188","188","188","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_12855","","","","","","",""
"WP_123789209.1","","hypothetical protein","1","1","1","1","7067","","","","248","248","248","","","","e1e193540533662714034fbaf73f5d6e_100","","","","","",""
"group_362","pilP","type IV pilus biogenesis protein PilP","1","1","1","1","4244","","","","534","534","534","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_7","","","","","","",""
"WP_016852434.1","","hypothetical protein","1","1","1","1","3842","","","","191","191","191","","","","e1e193540533662714034fbaf73f5d6e_1527","","","","","",""
"WP_016852438.1","","hypothetical protein","1","1","1","1","5136","","","","533","533","533","","","","e1e193540533662714034fbaf73f5d6e_1535","","","","","",""
"WP_016852439.1","","hypothetical protein","1","1","1","1","5135","","","","680","680","680","","","","e1e193540533662714034fbaf73f5d6e_1537","","","","","",""
"WP_014603990.1","","hypothetical protein","1","1","1","1","5134","","","","284","284","284","","","","e1e193540533662714034fbaf73f5d6e_1539","","","","","",""
"WP_015649394.1","","hypothetical protein","1","1","1","1","5126","","","","224","224","224","","","","e1e193540533662714034fbaf73f5d6e_1555","","","","","",""
"WP_077688109.1","","cold shock domain-containing protein","1","1","1","1","2815","","","","212","212","212","","","","e1e193540533662714034fbaf73f5d6e_2206","","","","","",""
"WP_126452964.1","","hypothetical protein","1","1","1","1","4494","","","","1889","1889","1889","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_23","","","","","","",""
"WP_016852530.1","","hypothetical protein","1","1","1","1","2605","","","","290","290","290","","","","e1e193540533662714034fbaf73f5d6e_2562","","","","","",""
"WP_071540777.1","","Lar family restriction alleviation protein","1","1","1","1","2604","","","","320","320","320","","","","e1e193540533662714034fbaf73f5d6e_2564","","","","","",""
"WP_016852531.1","","hypothetical protein","1","1","1","1","2602","","","","662","662","662","","","","e1e193540533662714034fbaf73f5d6e_2568","","","","","",""
"WP_003159451.1","","hypothetical protein","1","1","1","1","3388","","","","383","383","383","","","","e1e193540533662714034fbaf73f5d6e_2574","","","","","",""
"WP_003159452.1","","hypothetical protein","1","1","1","1","3389","","","","1418","1418","1418","","","","e1e193540533662714034fbaf73f5d6e_2576","","","","","",""
"WP_016852534.1","","hypothetical protein","1","1","1","1","3390","","","","209","209","209","","","","e1e193540533662714034fbaf73f5d6e_2578","","","","","",""
"WP_016852536.1","","DNA cytosine methyltransferase","1","1","1","1","3391","","","","761","761","761","","","","e1e193540533662714034fbaf73f5d6e_2580","","","","","",""
"WP_016852537.1","","hypothetical protein","1","1","1","1","3392","","","","617","617","617","","","","e1e193540533662714034fbaf73f5d6e_2582","","","","","",""
"WP_016852538.1","","hypothetical protein","1","1","1","1","3338","","","","377","377","377","","","","e1e193540533662714034fbaf73f5d6e_2586","","","","","",""
"WP_170955100.1","","hypothetical protein","1","1","1","1","3398","","","","314","314","314","","","","e1e193540533662714034fbaf73f5d6e_2590","","","","","",""
"WP_016852540.1","","hypothetical protein","1","1","1","1","3399","","","","248","248","248","","","","e1e193540533662714034fbaf73f5d6e_2592","","","","","",""
"group_3671","WP_016852942.1","hypothetical protein","1","1","1","1","3403","","","","221","221","221","","","","e1e193540533662714034fbaf73f5d6e_2598","","","","","",""
"WP_016852942.1","","hypothetical protein","1","1","1","1","9370","","","","221","221","221","","","","e1e193540533662714034fbaf73f5d6e_4931","","","","","",""
"WP_016852941.1","","hypothetical protein","1","1","1","1","3402","","","","278","278","278","","","","e1e193540533662714034fbaf73f5d6e_2600","","","","","",""
"group_3674","WP_016852941.1","hypothetical protein","1","1","1","1","9369","","","","278","278","278","","","","e1e193540533662714034fbaf73f5d6e_4933","","","","","",""
"WP_003159461.1","","hypothetical protein","1","1","1","1","3401","","","","167","167","167","","","","e1e193540533662714034fbaf73f5d6e_2602","","","","","",""
"group_3676","WP_003159461.1","hypothetical protein","1","1","1","1","9368","","","","167","167","167","","","","e1e193540533662714034fbaf73f5d6e_4935","","","","","",""
"WP_015649351.1","","hypothetical protein","1","1","1","1","3400","","","","206","206","206","","","","e1e193540533662714034fbaf73f5d6e_2604","","","","","",""
"group_3678","WP_015649351.1","hypothetical protein","1","1","1","1","9367","","","","206","206","206","","","","e1e193540533662714034fbaf73f5d6e_4937","","","","","",""
"WP_016852544.1","","LexA family transcriptional regulator","1","1","1","1","3318","","","","761","761","761","","","","e1e193540533662714034fbaf73f5d6e_2606","","","","","",""
"WP_003159470.1","","glycoside hydrolase family 19 protein","1","1","1","1","3278","","","","617","617","617","","","","e1e193540533662714034fbaf73f5d6e_2624","","","","","",""
"WP_016852551.1","","hypothetical protein","1","1","1","1","3279","","","","242","242","242","","","","e1e193540533662714034fbaf73f5d6e_2626","","","","","",""
"WP_050397059.1","","prepilin-type N-terminal cleavage/methylation domain-containing protein","1","1","1","1","3171","","","","521","521","521","","","","e1e193540533662714034fbaf73f5d6e_2652","","","","","",""
"WP_071535696.1","","DUF4124 domain-containing protein","1","1","1","1","3172","","","","527","527","527","","","","e1e193540533662714034fbaf73f5d6e_2654","","","","","",""
"WP_016852558.1","","hypothetical protein","1","1","1","1","3186","","","","410","410","410","","","","e1e193540533662714034fbaf73f5d6e_2664","","","","","",""
"WP_003159483.1","","hypothetical protein","1","1","1","1","3210","","","","1499","1499","1499","","","","e1e193540533662714034fbaf73f5d6e_2668","","","","","",""
"WP_016852560.1","","hypothetical protein","1","1","1","1","1800","","","","302","302","302","","","","e1e193540533662714034fbaf73f5d6e_2680","","","","","",""
"WP_016852561.1","","hypothetical protein","1","1","1","1","1799","","","","239","239","239","","","","e1e193540533662714034fbaf73f5d6e_2682","","","","","",""
"WP_003104361.1","","bacteriocin immunity protein","1","1","1","1","2290","","","","272","272","272","","","","e1e193540533662714034fbaf73f5d6e_2886","","","","","",""
"WP_172616737.1","","S-type pyocin domain-containing protein","1","1","1","1","2291","","","","2333","2333","2333","","","","e1e193540533662714034fbaf73f5d6e_2888","","","","","",""
"WP_153274554.1","","hypothetical protein","1","1","1","1","8314","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","293","293","293","","","","e1e193540533662714034fbaf73f5d6e_4668","","","","","",""
"group_3697","","hypothetical protein","1","1","1","1","750","","","","332","332","332","","","","e1e193540533662714034fbaf73f5d6e_4883","","","","","",""
"group_3698","","hypothetical protein","1","1","1","1","751","","","","188","188","188","","","","e1e193540533662714034fbaf73f5d6e_4885","","","","","",""
"group_3699","","hypothetical protein","1","1","1","1","752","","","","191","191","191","","","","e1e193540533662714034fbaf73f5d6e_4887","","","","","",""
"WP_016852960.1","","DUF1643 domain-containing protein","1","1","1","1","9302","","","","488","488","488","","","","e1e193540533662714034fbaf73f5d6e_4897","","","","","",""
"WP_016852961.1","","hypothetical protein","1","1","1","1","9301","","","","677","677","677","","","","e1e193540533662714034fbaf73f5d6e_4899","","","","","",""
"WP_016852962.1","","hypothetical protein","1","1","1","1","9300","","","","443","443","443","","","","e1e193540533662714034fbaf73f5d6e_4901","","","","","",""
"WP_019485767.1","","DNA cytosine methyltransferase","1","1","1","1","9299","","","","1778","1778","1778","","","","e1e193540533662714034fbaf73f5d6e_4903","","","","","",""
"WP_016852741.1","","DNA methylase N-4","1","1","1","1","9298","","","","2630","2630","2630","","","","e1e193540533662714034fbaf73f5d6e_4905","","","","","",""
"WP_016852742.1","","AAA family ATPase","1","1","1","1","9297","","","","1742","1742","1742","","","","e1e193540533662714034fbaf73f5d6e_4907","","","","","",""
"WP_009314056.1","","hypothetical protein","1","1","1","1","9379","","","","209","209","209","","","","e1e193540533662714034fbaf73f5d6e_4919","","","","","",""
"WP_016852746.1","","hypothetical protein","1","1","1","1","9374","","","","152","152","152","","","","e1e193540533662714034fbaf73f5d6e_4923","","","","","",""
"WP_016852747.1","","hypothetical protein","1","1","1","1","9373","","","","248","248","248","","","","e1e193540533662714034fbaf73f5d6e_4925","","","","","",""
"WP_016852973.1","","hypothetical protein","1","1","1","1","4211","","","","737","737","737","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_1638","","","","","","",""
"WP_170869677.1","","hypothetical protein","1","1","1","1","9348","","","","302","302","302","","","","e1e193540533662714034fbaf73f5d6e_4939","","","","","",""
"WP_016852750.1","","transcriptional regulator","1","1","1","1","9350","","","","311","311","311","","","","e1e193540533662714034fbaf73f5d6e_4945","","","","","",""
"WP_016852754.1","","RusA family crossover junction endodeoxyribonuclease","1","1","1","1","9322","","","","443","443","443","","","","e1e193540533662714034fbaf73f5d6e_4953","","","","","",""
"WP_016852768.1","","hypothetical protein","1","1","1","1","813","","","","320","320","320","","","","e1e193540533662714034fbaf73f5d6e_4981","","","","","",""
"WP_016852773.1","","tape measure protein","1","1","1","1","860","","","","3011","3011","3011","","","","e1e193540533662714034fbaf73f5d6e_4991","","","","","",""
"WP_016852775.1","","DUF1833 family protein","1","1","1","1","854","","","","491","491","491","","","","e1e193540533662714034fbaf73f5d6e_4995","","","","","",""
"WP_025986345.1","","hypothetical protein","1","1","1","1","856","","","","2729","2729","2729","","","","e1e193540533662714034fbaf73f5d6e_4999","","","","","",""
"WP_071540781.1","","hypothetical protein","1","1","1","1","855","","","","1679","1679","1679","","","","e1e193540533662714034fbaf73f5d6e_5001","","","","","",""
"WP_172616740.1","","acyltransferase","1","1","1","1","9481","","","","1979","1979","1979","","","","e1e193540533662714034fbaf73f5d6e_5003","","","","","",""
"WP_016852780.1","","hypothetical protein","1","1","1","1","9483","","","","368","368","368","","","","e1e193540533662714034fbaf73f5d6e_5007","","","","","",""
"WP_016852782.1","","hypothetical protein","1","1","1","1","9477","","","","512","512","512","","","","e1e193540533662714034fbaf73f5d6e_5013","","","","","",""
"WP_003097595.1","","type III polyketide synthase","1","1","1","1","177","","","","1049","1049","1049","","","","e1e193540533662714034fbaf73f5d6e_5035","","","","","",""
"WP_003097592.1","","tryptophan 7-halogenase","1","1","1","1","176","","","","1514","1514","1514","","","","e1e193540533662714034fbaf73f5d6e_5037","","","","","",""
"WP_003122611.1","","LysR family transcriptional regulator","1","1","1","1","175","","","","968","968","968","","","","e1e193540533662714034fbaf73f5d6e_5039","","","","","",""
"WP_003097589.1","","acyl carrier protein","1","1","1","1","174","","","","266","266","266","","","","e1e193540533662714034fbaf73f5d6e_5041","","","","","",""
"WP_003097588.1","","tryptophan 7-halogenase","1","1","1","1","173","","","","1349","1349","1349","","","","e1e193540533662714034fbaf73f5d6e_5043","","","","","",""
"WP_003086148.1","","type II toxin-antitoxin system ParD family antitoxin","1","1","1","1","4608","","","","272","272","272","","","","","","","d1676fa9fd9af43d40bcc74e7f0aec45_10746","","",""
"WP_023082398.1","","type I polyketide synthase","1","1","1","1","172","","","","7265","7265","7265","","","","e1e193540533662714034fbaf73f5d6e_5045","","","","","",""
"WP_019416299.1","","type I polyketide synthase","1","1","1","1","171","","","","5219","5219","5219","","","","e1e193540533662714034fbaf73f5d6e_5047","","","","","",""
"WP_003122614.1","","hypothetical protein","1","1","1","1","170","","","","1637","1637","1637","","","","e1e193540533662714034fbaf73f5d6e_5049","","","","","",""
"WP_003097582.1","","acyl-CoA/acyl-ACP dehydrogenase","1","1","1","1","169","","","","1133","1133","1133","","","","e1e193540533662714034fbaf73f5d6e_5051","","","","","",""
"WP_016852789.1","","amino acid adenylation domain-containing protein","1","1","1","1","168","","","","1493","1493","1493","","","","e1e193540533662714034fbaf73f5d6e_5053","","","","","",""
"WP_003097578.1","","thioesterase","1","1","1","1","167","","","","794","794","794","","","","e1e193540533662714034fbaf73f5d6e_5055","","","","","",""
"WP_003097575.1","","CerR family C-terminal domain-containing protein","1","1","1","1","166","","","","650","650","650","","","","e1e193540533662714034fbaf73f5d6e_5057","","","","","",""
"WP_003097573.1","","HlyD family efflux transporter periplasmic adaptor subunit","1","1","1","1","165","","","","1010","1010","1010","","","","e1e193540533662714034fbaf73f5d6e_5059","","","","","",""
"WP_003097571.1","","ABC transporter ATP-binding protein","1","1","1","1","164","","","","1769","1769","1769","","","","e1e193540533662714034fbaf73f5d6e_5061","","","","","",""
"WP_003097570.1","","ABC transporter permease","1","1","1","1","163","","","","1133","1133","1133","","","","e1e193540533662714034fbaf73f5d6e_5063","","","","","",""
"WP_003143845.1","","ABC transporter permease","1","1","1","1","162","","","","1118","1118","1118","","","","e1e193540533662714034fbaf73f5d6e_5065","","","","","",""
"WP_045107870.1","","efflux transporter outer membrane subunit","1","1","1","1","161","","","","1496","1496","1496","","","","e1e193540533662714034fbaf73f5d6e_5067","","","","","",""
"WP_003097564.1","","transporter","1","1","1","1","179","","","","605","605","605","","","","e1e193540533662714034fbaf73f5d6e_5069","","","","","",""
"WP_020751099.1","","TIGR03751 family conjugal transfer lipoprotein","1","1","1","1","4588","","","","443","443","443","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_12803","","","","","","",""
"WP_010791738.1","","hypothetical protein","1","1","1","1","204","","","","158","158","158","","","","e1e193540533662714034fbaf73f5d6e_5182","","","","","",""
"WP_079279895.1","","hypothetical protein","1","1","1","1","200","","","","434","434","434","","","","e1e193540533662714034fbaf73f5d6e_5190","","","","","",""
"WP_023103805.1","","TIGR03749 family integrating conjugative element protein","1","1","1","1","4409","","","","884","884","884","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_12807","","","","","","",""
"WP_009316296.1","","TIGR03750 family conjugal transfer protein","1","1","1","1","4411","","","","386","386","386","","","f57ec7ca82cfc8a0008cea8c3cc6a6e4_12811","","","","","","",""
"WP_006226025.1","","AAA family ATPase","1","1","1","1","393","","","","2624","2624","2624","","","","e1e193540533662714034fbaf73f5d6e_5256","","","","","",""
"WP_123789288.1","","hypothetical protein","1","1","1","1","4102","","","","398","398","398","","","","e1e193540533662714034fbaf73f5d6e_5604","","","","","",""
"WP_123789292.1","","hypothetical protein","1","1","1","1","4100","","","","422","422","422","","","","e1e193540533662714034fbaf73f5d6e_5614","","","","","",""
"WP_158222002.1","","hypothetical protein","1","1","1","1","4172","","","","269","269","269","","","","e1e193540533662714034fbaf73f5d6e_5618","","","","","",""
